OBJECTID *,Shape *,Administrative Unit Code,Administrative Unit Name,BLM Organization Type,Approval Date,Effective Date,State Office URL,Parent Admin Code,Parent Name,Administrative State Code,Shape_Length,Shape_Area
1,Polygon,TAOS FIELD OFFICE,TAOS FIELD OFFICE,Administrative Field Office,9/1/2004,9/18/2008,http://www.blm.gov/nm/st/en.html,FARMINGTON DISTRICT OFFICE,FARMINGTON DISTRICT OFFICE,New Mexico,1498324.133,96586895697
2,Polygon,TONOPAH FIELD OFFICE,Tonopah Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/nv/st/en.html,BATTLE MOUNTAIN DISTRICT OFFICE,Battle Mountain District,Nevada,1591646.239,50347854107
3,Polygon,NW OREGON TILLAMOOK FIELD OFFICE,NW OREGON TILLAMOOK FIELD OFFICE,Administrative Field Office,2/11/2016,10/2/2016,https://www.blm.gov/oregon-washington,NW OREGON DISTRICT OFFICE,NW OREGON DISTRICT OFFICE,Oregon,749398.5871,25026733972
4,Polygon,VALE MALHEUR FIELD OFFICE,VALE MALHEUR FIELD OFFICE,Administrative Field Office,9/1/2015,9/1/2015,https://www.blm.gov/oregon-washington,VALE DISTRICT OFFICE,VALE DISTRICT OFFICE,Oregon,1328172.373,49212129151
5,Polygon,FILLMORE FIELD OFFICE,Fillmore,Administrative Field Office,1/1/1946,1/1/1946,https://www.blm.gov/utah,WEST DESERT DISTRICT OFFICE,West Desert,Utah,1024921.511,44356734039
6,Polygon,SAN LUIS VALLEY FIELD OFFICE,SAN LUIS VALLEY FIELD OFFICE,Administrative Field Office,8/26/2016,10/3/2016,https://www.blm.gov/office/san-luis-valley-field-office,ROCKY MOUNTAIN DISTRICT OFFICE,ROCKY MOUNTAIN DISTRICT OFFICE,Colorado,1047508.633,31249623645
7,Polygon,CODY FIELD OFFICE,Cody Field Office,Administrative Field Office,9/9/9999,7/16/1946,https://www.blm.gov/wyoming/,WIND RIVER/BIGHORN BASIN DISTRICT OFF,Wind River Bighorn Basin District,Wyoming,1210568.39,48321350326
8,Polygon,GLASGOW FIELD OFFICE,GLASGOW FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/mt/st/en.html,NORTH CENTRAL MONTANA DISTRICT OFFICE,NORTH CENTRAL MONTANA DISTRICT OFFICE,Montana,920214.9646,23076044384
9,Polygon,NW OREGON MARYS PEAK FIELD OFFICE,NW OREGON MARYS PEAK FIELD OFFICE,Administrative Field Office,2/11/2016,10/2/2016,https://www.blm.gov/oregon-washington,NW OREGON DISTRICT OFFICE,NW OREGON DISTRICT OFFICE,Oregon,583432.4806,13491687737
10,Polygon,CENTRAL YUKON FIELD OFFICE,CENTRAL YUKON FIELD OFFICE,Administrative Field Office,1/9/2015,1/9/2015,https://www.blm.gov/office/central-yukon-field-office,FAIRBANKS DISTRICT OFFICE,FAIRBANKS DISTRICT OFFICE,Alaska,9189315.841,1.29138E+12
11,Polygon,OKLAHOMA FIELD OFFICE,OKLAHOMA FIELD OFFICE,Administrative Field Office,9/1/2004,9/18/2008,http://www.blm.gov/nm/st/en.html,OKLAHOMA FIELD OFFICE,OKLAHOMA FIELD OFFICE,New Mexico,7388324.34,1.58359E+12
12,Polygon,PALM SPRINGS/S COAST FLD OFC,Palm Springs/S. Coast Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,CALIFORNIA DESERT DISTRICT,California Desert District,California,2600850.567,56867650321
13,Polygon,CALIENTE FIELD OFFICE,Caliente Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/nv/st/en.html,ELY DISTRICT OFFICE,Ely District,Nevada,1281937.136,33766627221
14,Polygon,MEDFORD BUTTE FALLS FIELD OFFICE,MEDFORD BUTTE FALLS FIELD OFFICE,Administrative Field Office,9/9/9999,9/9/9999,https://www.blm.gov/oregon-washington,MEDFORD DISTRICT OFFICE,MEDFORD DISTRICT OFFICE,Oregon,411814.9265,6496878520
15,Polygon,BARSTOW FIELD OFFICE,Barstow Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,CALIFORNIA DESERT DISTRICT,California Desert District,California,1320581.279,38667476148
16,Polygon,FARMINGTON FIELD OFFICE,FARMINGTON FIELD OFFICE,Administrative Field Office,9/1/2004,9/18/2008,http://www.blm.gov/nm/st/en.html,FARMINGTON DISTRICT OFFICE,FARMINGTON DISTRICT OFFICE,New Mexico,1051645.088,48811224895
17,Polygon,WELLS FIELD OFFICE,Wells Field Office,Administrative Field Office,9/9/9999,9/9/9999,http://www.blm.gov/nv/st/en.html,ELKO DISTRICT OFFICE,Elko District,Nevada,1083349.477,42487391533
18,Polygon,APPLEGATE FIELD OFFICE,Applegate Field Office,Administrative Field Office,9/9/9999,9/9/9999,'https://www.blm.gov/california,NORTHERN CALIFORNIA DISTRICT,Northern California District,California,1306420.005,46687701630
19,Polygon,WORLAND FIELD OFFICE,Worland Field Office,Administrative Field Office,9/9/9999,7/16/1946,https://www.blm.gov/wyoming/,WIND RIVER/BIGHORN BASIN DISTRICT OFF,Wind River Bighorn Basin District,Wyoming,926585.0378,29403292294
20,Polygon,NW OREGON UPPER WILLAMETTE FIELD OFF.,NW OREGON UPPER WILLAMETTE FIELD OFFICE,Administrative Field Office,2/11/2016,10/2/2016,https://www.blm.gov/oregon-washington,NW OREGON DISTRICT OFFICE,NW OREGON DISTRICT OFFICE,Oregon,617546.926,16621165734
21,Polygon,SOCORRO FIELD OFFICE,SOCORRO FIELD OFFICE,Administrative Field Office,9/1/2004,9/18/2008,http://www.blm.gov/nm/st/en.html,ALBUQUERQUE DISTRICT OFFICE,ALBUQUERQUE DISTRICT OFFICE,New Mexico,1051563.946,51238657881
